Name,Address,Type,Phone,Website,latitude,longitude
ADVENTURE AIR SPORTS,"2375 Cherry Rd Suite 101, Rock Hill, SC 29732",Adventure Park,803.326.5867,https://rockhill.adventureairsports.com,34.96958262,-80.99272835
Bounce Parties and Games,"_4310 Shipyard Blvd. Suite 101 Wilmington, NC 28403",Adventure Park,910-769-5065,https://www.bounce-wilmington.com/about.html,34.2000406,-77.88943568
Bounce the House,"514 N McPherson Church Rd, Fayetteville, NC 28303",Adventure Park, (910) 491-0127,https://bouncethehousefayetteville.com,35.07571184,-78.95384469
DEFY Charlotte,"8116 University City Blvd, Charlotte, NC 28213",Adventure Park, (704) 817-4660,https://defy.com/defy-charlotte/,35.29364593,-80.74765058
Epic Fun Park,"1400 Walter Reed Rd, Fayetteville, NC 28304",Adventure Park,(910) 759-4744,https://epicfunpark.com,35.03946878,-78.93759688
FearLess Adventure Park,"657 River Hwy, Mooresville, NC 28117",Adventure Park, (980) 435-5000,https://www.fearlessadventurepark.com,35.59620213,-80.87813911
Flip N Fly,"830 Inspiration Drive Wilmington, NC 28405",Adventure Park,(910)679-5050,https://flipnfly.com,34.2439449,-77.82993794
FOX-N-OTTER Adventure Escapes,"3749 Sweeten Creek Rd Unit 2, Arden, NC 28704",Adventure Park,(828) 585-4302,https://escaperoomsasheville.com,35.47345105,-82.5151045
FOX-N-OTTER Adventure Escapes,"3 S Tunnel Road Asheville, NC 28805",Adventure Park,(828) 585-4302,https://escaperoomsasheville.com,35.58334469,-82.52591681
FOX-N-OTTER Adventure Escapes,"1800 Four Seasons Blvd Hendersonville, NC 28792",Adventure Park,(828) 585-4302,https://escaperoomsasheville.com,35.33551652,-82.44691877
FRANKIE'S PARK,"10621 Bryton Corporate Center Drive Huntersville, NC 28078",Adventure Park,(704) 875-7888,https://frankies.com,35.37295586,-80.82480838
FRANKIE'S PARK,"11190 Fun Park Drive Raleigh, NC 27617",Adventure Park,(919) 433-7888,https://frankies.com,35.91885328,-78.79563376
FunBox,"11025 Carolina Pl Pkwy Pineville, NC",Adventure Park,(704) 762-1091,https://funbox.com,35.0827482,-80.87961814
Galaxy Fun Park,"14460 Falls of Neuse Rd, Raleigh, NC 27614",Adventure Park,919-584-4000,https://galaxyfunpark.com,35.94574911,-78.54337021
JP's Jump Masters,"7005 Nexus Court Fayetteville, NC 28304",Adventure Park,910-223-0200,https://jpsjumpmasters.com,35.0347281,-79.01508474
Jungle Rapids Family Fun Park,"5320 Oleander Drive Wilmington, NC 28403",Adventure Park,910-791-0666,https://junglerapids.com,34.20790994,-77.86371198
Launch Family Entertainment Asheville,24 Walden Drive Arden NC 28704,Adventure Park,(828) 651-0280,https://launchfamilyentertainment.com/asheville/,35.4643283,-82.51874801
Mr. Putty's Fun Park,"2333 Dam Rd, Tega Cay, SC 29708",Adventure Park, (844) 677-8889,https://www.mrputtys.com,35.04544366,-80.99115091
Planet Fun & Starz Grille Family Entertainment and Bowling Center,"349 Whiteville Road Shallotte, NC 28459",Adventure Park,910 7752386,https://planetfuncenter.com,33.97369189,-78.40042715
Putt-Putt Fun Center,"3311 Footbridge Ln Fayetteville, NC 28306",Adventure Park,910-424-7888,https://puttputt.com/fayetteville-nc/,34.98054264,-78.97227952
Putt-Putt Fun Center,"1340 N Church St Burlington, NC 27217",Adventure Park,336-228-6217,https://puttputt.com/burlington-nc/,36.09746774,-79.41584519
Putt-Putt Fun Center,"1608 White Lake Dr Elizabethtown, NC 28337",Adventure Park,910-862-4064,https://puttputt.com/elizabethtown-nc/,34.63611268,-78.48405153
Putt-Putt Fun Center,"533 7th Avenue Place SW Hickory, NC 28602",Adventure Park,828-327-2316,https://puttputt.com/hickory-nc/,35.722209,-81.34762214
Putt-Putt Fun Center,"2418 N Main St High Point, NC 27262",Adventure Park,336-869-4273,https://puttputt.com/highpoint-nc/,35.9879852,-80.02609595
Surge Adventure Park,"2051 Griffith Road, Winston Salem, NC 27103",Adventure Park, (336) 638-1078,https://surgefun.com/locations/winston-salem/,36.06137708,-80.30935235
Surge Adventure Park,"3333 N Main St, Hope Mills, NC 28348",Adventure Park,(910) 710-5162,https://surgefun.com/locations/fayetteville/,34.97884981,-78.95770633
Main Event Fayetteville,"580 CROSS CREEK MALL, FAYETTEVILLE, NC 28303",Adventure Park,(910) 552-1780,https://www.mainevent.com/locations/north-carolina/fayetteville/,35.0724421,-78.9609386
